GWIAZDA	jd	mag	idobs	kom
BETA LYR	2453986.2958	3.9	ZSI	
DELTA CEP	2453986.2965	4.1	ZSI	
S SGE	2453986.2979	5.2	ZSI	
X CYG	2453986.2993	6.7	ZSI	
V568 CYG	2453986.3000	6.5	ZSI	
TU CAS	2453986.3041	7.5	ZSI	
RZ CAS	2453986.3048	7.4	ZSI	
SU CAS	2453986.3055	6.2	ZSI	
U DEL	2453986.3062	7.3	ZSI	
EU DEL	2453986.3069	6.3	ZSI	
TV CAS	2453986.3076	7.4	ZSI	
R SCT	2453986.3111	5.3	ZSI	
RZ CAS	2453986.3138	7.3	ZSI	
CHI CYG	2453986.3173	5	ZSI	
AF CYG	2453986.3180	7.3	ZSI	
BETA LYR	2453990.2972	3.5	ZSI	
DELTA CEP	2453990.2979	4.2	ZSI	
ETA AQL	2453990.3006	3.8	ZSI	
R SCT	2453990.3013	5	ZSI	
X HER	2453990.3076	7	ZSI	
G HER	2453990.3083	5	ZSI	
TX HER	2453990.3097	8.6	ZSI	
AI DRA	2453990.3104	7.1	ZSI	
R LYR	2453990.3111	4.6	ZSI	
R CRB	2453990.3118	6.1	ZSI	
S SCT	2453990.3138	7.5	ZSI	
R AQL	2453990.3166	6.9	ZSI	
S SGE	2453990.3173	5.9	ZSI	
Z VUL	2453990.3180	7.3	ZSI	
U SGE	2453990.3187	6.3	ZSI	
AC HER	2453990.3229	7.6	ZSI	
T VUL	2453990.3256	5.9	ZSI	
V VUL	2453990.3263	8.4	ZSI	
AF CYG	2453990.3305	7.2	ZSI	
CH CYG	2453990.3312	8.7	ZSI	
R CYG	2453990.3319	8.4	ZSI	
CHI CYG	2453990.3333	5.2	ZSI	
V449 CYG	2453990.3354	8	ZSI	
TT CYG	2453990.3368	7.8	ZSI	
P CYG	2453990.3381	5	ZSI	
RS CYG	2453990.3388	8	ZSI	
X CYG	2453990.3402	6	ZSI	
V568 CYG	2453990.3409	6.4	ZSI	
GO CYG	2453990.3423	8.55	ZSI	
Y CYG	2453990.3430	7.2	ZSI	
V367 CYG	2453990.3437	7.6	ZSI	
W CYG	2453990.3458	6.9	ZSI	
V1339 CYG	2453990.3465	6.6	ZSI	
U DEL	2453990.3513	7.2	ZSI	
EU DEL	2453990.3520	6.5	ZSI	
DM DEL	2453990.3534	9	ZSI	
S EQU	2453990.3541	8	ZSI	
TX DEL	2453990.3555	8.9	ZSI	
AR LAC	2453990.3583	6.2	ZSI	
NSV 25832	2453990.3590	8.9	ZSI	
CM LAC	2453990.3604	8.2	ZSI	
Z LAC	2453990.3625	9	ZSI	
RR LAC	2453990.3631	9.1	ZSI	
X LAC	2453990.3652	8.9	ZSI	
V LAC	2453990.3666	9.2	ZSI	
GL LAC	2453990.3687	8.5	ZSI	
RZ CAS	2453990.3694	6.3	ZSI	
SU CAS	2453990.3701	6.2	ZSI	
TU CAS	2453990.3708	8	ZSI	
TV CAS	2453990.3715	7.3	ZSI	
GO CYG	2453990.3722	8.45	ZSI	
DM DEL	2453990.3729	9.1	ZSI	
BETA LYR	2453994.2798	3.5	ZSI	
R LYR	2453994.2805	4.4	ZSI	
ETA AQL	2453994.2812	4.1	ZSI	
DELTA CEP	2453994.2819	3.8	ZSI	
R SCT	2453994.2847	5.1	ZSI	
S SCT	2453994.2854	7.3	ZSI	
AC HER	2453994.2895	7.2	ZSI	
X HER	2453994.2902	6.8	ZSI	
G HER	2453994.2909	5.1	ZSI	
TX HER	2453994.2916	8.5	ZSI	
AI DRA	2453994.2923	7	ZSI	
S EQU	2453994.2937	9.6	ZSI	
TX DEL	2453994.2944	9.5	ZSI	
DM DEL	2453994.2965	8.6	ZSI	
GO CYG	2453994.2972	8.45	ZSI	
R AQL	2453994.2979	6.8	ZSI	
S SGE	2453994.2986	5.3	ZSI	
U SGE	2453994.2993	6.4	ZSI	
Z VUL	2453994.3000	7.3	ZSI	
AF CYG	2453994.3020	7.2	ZSI	
R CYG	2453994.3027	8.6	ZSI	
CH CYG	2453994.3034	8.6	ZSI	
CHI CYG	2453994.3041	5.3	ZSI	
V449 CYG	2453994.3048	7.9	ZSI	
TT CYG	2453994.3055	8	ZSI	
X CYG	2453994.3069	6.6	ZSI	
V568 CYG	2453994.3076	6.5	ZSI	
Y CYG	2453994.3083	7.2	ZSI	
V367 CYG	2453994.3090	7.1	ZSI	
U DEL	2453994.3118	7.1	ZSI	
EU DEL	2453994.3125	6.4	ZSI	
T VUL	2453994.3145	6.2	ZSI	
V VUL	2453994.3152	8.4	ZSI	
S EQU	2453994.3166	9.6	ZSI	
GO CYG	2453994.3173	8.4	ZSI	
RZ CAS	2453994.3180	6.3	ZSI	
SU CAS	2453994.3187	6.1	ZSI	
TU CAS	2453994.3194	8.1	ZSI	
TV CAS	2453994.3201	7.3	ZSI	
T CEP	2453994.3229	7.3	ZSI	
S CEP	2453994.3250	8.9	ZSI	
P CYG	2453994.3256	4.8	ZSI	
RS CYG	2453994.3263	8.1	ZSI	
W CYG	2453994.3284	6.8	ZSI	
V1339 CYG	2453994.3291	6.5	ZSI	
AR LAC	2453994.3312	6.2	ZSI	
CM LAC	2453994.3319	8.2	ZSI	
BG LAC	2453994.3326	9.1	ZSI	
RT LAC	2453994.3333	9.2	ZSI	
NSV 25832	2453994.3347	9	ZSI	
S EQU	2453994.3368	9.5	ZSI	
CQ CEP	2453994.3381	9.1	ZSI	
Z LAC	2453994.3388	8.6	ZSI	
RR LAC	2453994.3395	9	ZSI	
X LAC	2453994.3409	8.8	ZSI	
V LAC	2453994.3423	9.4	ZSI	
GL LAC	2453994.3437	8.9	ZSI	
R CAS	2453994.3479	6	ZSI	
FM CAS	2453994.3493	9.1	ZSI	
GO CYG	2453994.3506	8.4	ZSI	
EG AND	2453994.3548	7.4	ZSI	
EE PEG	2453994.3562	6.8	ZSI	
S EQU	2453994.3625	9.4	ZSI	
V CAS	2453994.3645	8.1	ZSI	
MIU CEP	2453994.3659	4.1	ZSI	
VV CEP	2453994.3666	5.3	ZSI	
RHO CAS	2453994.3673	4.5	ZSI	
GAMMA CAS	2453994.3680	2.2	ZSI	
BETA PER	2453994.3687	2.1	ZSI	
RHO PER	2453994.3694	3.2	ZSI	
TV PSC	2453994.3722	4.9	ZSI	
TX PSC	2453994.3736	5.3	ZSI	
S EQU	2453994.3819	9.3	ZSI	
BETA LYR	2453995.3513	3.4	ZSI	
DELTA CEP	2453995.3520	4	ZSI	
ETA AQL	2453995.3527	4.2	ZSI	
AI DRA	2453995.3534	7.1	ZSI	
RZ CAS	2453995.3541	6.4	ZSI	
SU CAS	2453995.3548	6.1	ZSI	
TU CAS	2453995.3555	7.8	ZSI	
TV CAS	2453995.3562	7.4	ZSI	
Z LAC	2453995.3576	8.1	ZSI	
RR LAC	2453995.3583	9.3	ZSI	
X LAC	2453995.3590	8.9	ZSI	
V LAC	2453995.3597	9.3	ZSI	
GL LAC	2453995.3604	8.9	ZSI	
AR LAC	2453995.3611	6.2	ZSI	
CM LAC	2453995.3618	8.2	ZSI	
NSV 25832	2453995.3625	8.8	ZSI	
X CYG	2453995.3631	6.9	ZSI	
S SGE	2453995.3638	5.4	ZSI	
U SGE	2453995.3645	6.3	ZSI	
Z VUL	2453995.3652	7.3	ZSI	
T VUL	2453995.3659	5.5	ZSI	
S EQU	2453995.3750	8	ZSI	
TX DEL	2453995.3756	9.4	ZSI	
OMI CET	2453995.4243	8.3	ZSI	
R TAU	2453995.5208	8.7	ZSI	
YY ERI	2453995.5243	8.5	ZSI	
BETA LYR	2453996.2895	3.5	ZSI	
DELTA CEP	2453996.2902	4.2	ZSI	
ETA AQL	2453996.2909	4.3	ZSI	
R CRB	2453996.2923	6	ZSI	
AI DRA	2453996.2930	7.1	ZSI	
GK CEP	2453996.2986	7.4	ZSI	
EK CEP	2453996.3000	7.9	ZSI	
R SCT	2453996.3006	5.2	ZSI	
S SGE	2453996.3013	5.5	ZSI	
U SGE	2453996.3020	6.3	ZSI	
Z VUL	2453996.3027	7.3	ZSI	
DM DEL	2453996.3041	8.8	ZSI	
S EQU	2453996.3048	8.1	ZSI	
TX DEL	2453996.3055	9	ZSI	
X CYG	2453996.3076	6.9	ZSI	
Y CYG	2453996.3083	7.5	ZSI	
V367 CYG	2453996.3090	7.1	ZSI	
GO CYG	2453996.3097	8.55	ZSI	
T VUL	2453996.3104	5.5	ZSI	
AR LAC	2453996.3125	6.2	ZSI	
CM LAC	2453996.3131	8.2	ZSI	
Z LAC	2453996.3145	8	ZSI	
CQ CEP	2453996.3159	9.3	ZSI	
X LAC	2453996.3173	8.9	ZSI	
V LAC	2453996.3180	8.8	ZSI	
GL LAC	2453996.3187	8.8	ZSI	
TX HER	2453996.3194	8.3	ZSI	
RZ CAS	2453996.3201	6.3	ZSI	
SU CAS	2453996.3208	6.2	ZSI	
TU CAS	2453996.3215	8.1	ZSI	
TV CAS	2453996.3222	7.3	ZSI	
EE PEG	2453996.3236	6.9	ZSI	
DM DEL	2453996.3243	8.7	ZSI	
GK CEP	2453996.3256	7.2	ZSI	
R SCT	2454001.3597	5.2	ZSI	
S SCT	2454001.3604	7.2	ZSI	
R CRB	2454001.3611	5.9	ZSI	
BETA LYR	2454001.3618	3.4	ZSI	
ETA AQL	2454001.3625	4.2	ZSI	
DELTA CEP	2454001.3631	4.1	ZSI	
X HER	2454001.3638	6.7	ZSI	
G HER	2454001.3645	5.2	ZSI	
TX HER	2454001.3652	8.2	ZSI	
AC HER	2454001.3659	7.1	ZSI	
R LYR	2454001.3666	4.3	ZSI	
AI DRA	2454001.3673	7.1	ZSI	
R AQL	2454001.3680	7	ZSI	
S SGE	2454001.3687	5.7	ZSI	
U SGE	2454001.3694	6.3	ZSI	
Z VUL	2454001.3701	7.3	ZSI	
U DEL	2454001.3708	7.2	ZSI	
EU DEL	2454001.3715	6.4	ZSI	
S EQU	2454001.3722	8.1	ZSI	
TX DEL	2454001.3729	9.5	ZSI	
DM DEL	2454001.3736	8.7	ZSI	
CHI CYG	2454001.3756	5.7	ZSI	
V449 CYG	2454001.3763	7.8	ZSI	
TT CYG	2454001.3770	7.9	ZSI	
AF CYG	2454001.3833	7.1	ZSI	
R CYG	2454001.3840	8.8	ZSI	
CH CYG	2454001.3847	8.9	ZSI	
X CYG	2454001.3854	7.2	ZSI	
V568 CYG	2454001.3861	6.5	ZSI	
GO CYG	2454001.3868	8.4	ZSI	
Y CYG	2454001.3875	7.3	ZSI	
V367 CYG	2454001.3881	7.1	ZSI	
T VUL	2454001.3888	6	ZSI	
V VUL	2454001.3888	8.6	ZSI	
W CYG	2454001.3902	6.8	ZSI	
V1339 CYG	2454001.3909	6.5	ZSI	
AR LAC	2454001.3916	6.3	ZSI	
CM LAC	2454001.3923	8.2	ZSI	
NSV 25832	2454001.3930	9	ZSI	
BG LAC	2454001.3937	9.1	ZSI	
RT LAC	2454001.3944	9.6	ZSI	
CQ CEP	2454001.3951	8.8	ZSI	
Z LAC	2454001.3958	9.1	ZSI	
RR LAC	2454001.3965	9.2	ZSI	
X LAC	2454001.3972	8.8	ZSI	
V LAC	2454001.3979	8.7	ZSI	
GL LAC	2454001.3986	8.9	ZSI	
DM DEL	2454001.4000	8.6	ZSI	
EE PEG	2454001.4006	6.9	ZSI	
RZ CAS	2454001.4013	6.3	ZSI	
SU CAS	2454001.4020	6.1	ZSI	
TU CAS	2454001.4027	7.7	ZSI	
TV CAS	2454001.4034	7.3	ZSI	
R CAS	2454001.4041	6.1	ZSI	
BETA PER	2454001.4048	2.2	ZSI	
RHO PER	2454001.4055	3.1	ZSI	
RHO CAS	2454001.4062	4.6	ZSI	
GAMMA CAS	2454001.4069	2.3	ZSI	
GK CEP	2454001.4145	7.2	ZSI	
EK CEP	2454001.4152	8	ZSI	
T CEP	2454001.4159	7.4	ZSI	
S CEP	2454001.4166	8.8	ZSI	
MIU CEP	2454001.4173	4.1	ZSI	
VV CEP	2454001.4180	5.3	ZSI	
TV PSC	2454001.4187	5	ZSI	
TX PSC	2454001.4194	5.2	ZSI	
EG AND	2454001.4201	7.5	ZSI	
BU TAU	2454001.4208	5.3	ZSI	
RZ ARI	2454001.4305	6.2	ZSI	
T ARI	2454001.4312	9.4	ZSI	
X PER	2454001.4319	6.3	ZSI	
OMI CET	2454001.4326	8.5	ZSI	
YY ERI	2454001.4555	8.5	ZSI	
R TAU	2454001.4562	8.8	ZSI	
RX AUR	2454001.4569	7.4	ZSI	
RS CET	2454001.4625	8.5	ZSI	
R ARI	2454001.4638	8.8	ZSI	
DM DEL	2454001.4722	8.6	ZSI	
YY ERI	2454001.4750	8.4	ZSI	
GO CYG	2454001.4770	8.5	ZSI	
RT AUR	2454001.4805	5.3	ZSI	
WW AUR	2454001.4819	5.6	ZSI	
DM DEL	2454001.4937	8.6	ZSI	
YY ERI	2454001.4944	8.55	ZSI	
T MON	2454001.5090	6.1	ZSI	
AX MON	2454001.5104	6.6	ZSI	
YY ERI	2454001.5138	8.6	ZSI	
ETA GEM	2454001.5201	3.2	ZSI	
ZETA GEM	2454001.5208	4.2	ZSI	
YY ERI	2454001.5340	8.7	ZSI	
R LEP	2454001.5506	8.3	ZSI	
YY ERI	2454001.5520	8.8	ZSI	
BETA LYR	2454002.2756	3.4	ZSI	
DELTA CEP	2454002.2763	4.1	ZSI	
ETA AQL	2454002.2770	4.1	ZSI	
R CRB	2454002.2777	6	ZSI	
AI DRA	2454002.2819	7.1	ZSI	
S SGE	2454002.2826	5.3	ZSI	
U SGE	2454002.2833	6.3	ZSI	
Z VUL	2454002.2840	7.3	ZSI	
EE PEG	2454002.2840	6.9	ZSI	
S EQU	2454002.2868	8	ZSI	
TX DEL	2454002.2875	9.3	ZSI	
DM DEL	2454002.2881	8.6	ZSI	
TX HER	2454002.2888	8.3	ZSI	
RZ CAS	2454002.2895	6.4	ZSI	
SU CAS	2454002.2902	6	ZSI	
TU CAS	2454002.2909	8.1	ZSI	
TV CAS	2454002.2916	7.3	ZSI	
X CYG	2454002.3006	7.1	ZSI	
GO CYG	2454002.3013	8.45	ZSI	
V367 CYG	2454002.3020	7	ZSI	
Y CYG	2454002.3027	7.3	ZSI	
T VUL	2454002.3034	5.8	ZSI	
AR LAC	2454002.3055	6.2	ZSI	
CM LAC	2454002.3062	8.2	ZSI	
NSV 25832	2454002.3069	9	ZSI	
BG LAC	2454002.3076	9	ZSI	
RT LAC	2454002.3083	9.2	ZSI	
Z LAC	2454002.3090	9.2	ZSI	
RR LAC	2454002.3097	9.3	ZSI	
X LAC	2454002.3104	8.6	ZSI	
V LAC	2454002.3118	9	ZSI	
GL LAC	2454002.3125	8.9	ZSI	
AB DRA	2454002.3506	13.2	ZSI	
GO CYG	2454002.3513	8.55	ZSI	
GO CYG	2454002.3791	8.6	ZSI	
BETA PER	2454002.3798	2.2	ZSI	
BETA PER	2454002.4326	2.4	ZSI	
YY ERI	2454002.4444	8.55	ZSI	
RT AUR	2454002.4458	5.3	ZSI	
WW AUR	2454002.4465	5.6	ZSI	
RX AUR	2454002.4472	7.5	ZSI	
GO CYG	2454002.4472	8.55	ZSI	
BETA PER	2454002.4604	2.4	ZSI	
YY ERI	2454002.4631	8.45	ZSI	
SW UMA	2454002.4708	11	ZSI	
EQ UMA	2454002.4722	12.5	ZSI	
SS CYG	2454002.4812	12.3	ZSI	
RT CYG	2454002.4847	12.4	ZSI	
YY ERI	2454002.4861	8.6	ZSI	
BETA PER	2454002.4875	2.5	ZSI	
U CYG	2454002.4916	9.9	ZSI	
U ORI	2454002.5125	12.6	ZSI	
BETA PER	2454002.5152	2.7	ZSI	
Z UMA	2454002.5236	7.7	ZSI	
T UMA	2454002.5305	12.3	ZSI	
S UMA	2454002.5305	11.2	ZSI	
YY ERI	2454002.5347	8.65	ZSI	
T MON	2454002.5416	5.8	ZSI	
V MON	2454002.5430	7.5	ZSI	
BETA PER	2454002.5437	2.8	ZSI	
VY UMA	2454002.5486	6.2	ZSI	
R UMA	2454002.5500	8.8	ZSI	
YZ CMI	2454002.5666	11.4	ZSI	
YY ERI	2454002.5673	8.5	ZSI	
BETA PER	2454002.5680	2.9	ZSI	
YZ CMI	2454002.5701	11.2	ZSI	
YZ CMI	2454002.5729	11	ZSI	
YZ CMI	2454002.5750	10.9	ZSI	
X MON	2454002.5770	7.1	ZSI	
V523 MON	2454002.5777	6.8	ZSI	
YZ CMI	2454002.5791	10.6	ZSI	
YZ CMI	2454002.5826	10.8	ZSI	
YZ CMI	2454002.5895	11.2	ZSI	
YY ERI	2454002.5916	8.45	ZSI	
BETA PER	2454002.5923	3	ZSI	
YZ CMI	2454002.5930	11.3	ZSI	
YZ CMI	2454002.6034	11.5	ZSI	
KQ PUP	2454002.6069	4.9	ZSI	
YY ERI	2454002.6111	8.3	ZSI	
BETA PER	2454002.6118	3.2	ZSI	
R LEO	2454002.6131	10.2	ZSI	
R CRB	2454004.2569	6	ZSI	
RZ CAS	2454004.2576	6.6	ZSI	
SU CAS	2454004.2583	6.2	ZSI	
TU CAS	2454004.2590	8	ZSI	
TV CAS	2454004.2597	7.3	ZSI	
AI DRA	2454004.2604	7.4	ZSI	
R SCT	2454004.2611	5.4	ZSI	
S SCT	2454004.2618	7.3	ZSI	
68U HER	2454004.2625	4.9	ZSI	
TX HER	2454004.2631	8.2	ZSI	
X HER	2454004.2638	6.7	ZSI	
G HER	2454004.2645	5.2	ZSI	
AC HER	2454004.2652	7.3	ZSI	
AR LAC	2454004.2659	6.2	ZSI	
CM LAC	2454004.2666	8.2	ZSI	
S SGE	2454004.2673	5.6	ZSI	
U SGE	2454004.2680	6.4	ZSI	
Z VUL	2454004.2687	7.4	ZSI	
DM DEL	2454004.2694	8.6	ZSI	
S EQU	2454004.2701	8	ZSI	
EE PEG	2454004.2708	6.9	ZSI	
TX DEL	2454004.2715	9.5	ZSI	
X CYG	2454004.2722	6.8	ZSI	
GO CYG	2454004.2729	8.5	ZSI	
V568 CYG	2454004.2736	6.5	ZSI	
Y CYG	2454004.2743	7.5	ZSI	
T VUL	2454004.2750	5.5	ZSI	
V367 CYG	2454004.2756	7.2	ZSI	
RZ CAS	2454004.2763	6.5	ZSI	
TV CAS	2454004.2770	7.3	ZSI	
R AQL	2454004.2777	7	ZSI	
U DEL	2454004.2784	7.1	ZSI	
EU DEL	2454004.2791	6.5	ZSI	
V VUL	2454004.2798	8.8	ZSI	
AR LAC	2454004.2805	6.2	ZSI	
CM LAC	2454004.2812	8.3	ZSI	
CQ CEP	2454004.2819	8.8	ZSI	
Z LAC	2454004.2826	8.7	ZSI	
RR LAC	2454004.2833	9.2	ZSI	
X LAC	2454004.2840	8.6	ZSI	
V LAC	2454004.2847	9.3	ZSI	
GL LAC	2454004.2854	8.9	ZSI	
BG LAC	2454004.2861	8.9	ZSI	
RT LAC	2454004.2868	9.2	ZSI	
Z VUL	2454004.2881	7.5	ZSI	
AF CYG	2454004.2888	7	ZSI	
R CYG	2454004.2895	9	ZSI	
CH CYG	2454004.2902	8.9	ZSI	
P CYG	2454004.2909	4.7	ZSI	
RS CYG	2454004.2916	8.2	ZSI	
RZ CAS	2454004.2923	6.4	ZSI	
TV CAS	2454004.2930	7.4	ZSI	
R CAS	2454004.2937	6.2	ZSI	
CHI CYG	2454004.2944	5.9	ZSI	
EG AND	2454004.2951	7.4	ZSI	
TV PSC	2454004.2958	5	ZSI	
TX PSC	2454004.2965	5.2	ZSI	
AR LAC	2454004.2972	6.3	ZSI	
CM LAC	2454004.2979	8.3	ZSI	
Y CYG	2454004.2986	7.4	ZSI	
GO CYG	2454004.2993	8.45	ZSI	
GK CEP	2454004.3000	7.15	ZSI	
EK CEP	2454004.3006	8	ZSI	
T CEP	2454004.3013	7	ZSI	
AI DRA	2454004.3041	7.2	ZSI	
R LYR	2454004.3055	4.4	ZSI	
W CYG	2454004.3062	6.8	ZSI	
V1339 CYG	2454004.3069	6.5	ZSI	
AR LAC	2454004.3076	6.35	ZSI	
CM LAC	2454004.3083	8.35	ZSI	
RZ CAS	2454004.3090	6.4	ZSI	
TV CAS	2454004.3097	7.5	ZSI	
Z VUL	2454004.3104	7.55	ZSI	
AR LAC	2454004.3236	6.4	ZSI	
CM LAC	2454004.3243	8.4	ZSI	
RZ CAS	2454004.3250	6.3	ZSI	
TV CAS	2454004.3256	7.7	ZSI	
Z VUL	2454004.3263	7.6	ZSI	
AR LAC	2454004.3402	6.45	ZSI	
CM LAC	2454004.3409	8.5	ZSI	
TV CAS	2454004.3416	7.85	ZSI	
Z VUL	2454004.3423	7.8	ZSI	
GK CEP	2454004.3430	7.05	ZSI	
AR LAC	2454004.3541	6.6	ZSI	
CM LAC	2454004.3548	8.6	ZSI	
TV CAS	2454004.3555	8.1	ZSI	
Z VUL	2454004.3562	7.9	ZSI	
GK CEP	2454004.3569	7.1	ZSI	
AR LAC	2454004.3708	6.8	ZSI	
CM LAC	2454004.3715	8.8	ZSI	
TV CAS	2454004.3722	8.2	ZSI	
Z VUL	2454004.3729	8	ZSI	
GK CEP	2454004.3736	7.05	ZSI	
AR LAC	2454004.3868	6.85	ZSI	
CM LAC	2454004.3875	9.1	ZSI	
TV CAS	2454004.3881	8.1	ZSI	
Z VUL	2454004.3888	8.1	ZSI	
R ARI	2454004.3895	8.9	ZSI	
AR LAC	2454004.4076	6.8	ZSI	
CM LAC	2454004.4083	9	ZSI	
TV CAS	2454004.4090	8	ZSI	
Z VUL	2454004.4097	8.3	ZSI	
AR LAC	2454004.4250	6.7	ZSI	
CM LAC	2454004.4256	8.9	ZSI	
Z VUL	2454004.4263	8.3	ZSI	
BETA PER	2454004.4395	2.2	ZSI	
RHO PER	2454004.4402	3.2	ZSI	
AR LAC	2454004.4409	6.55	ZSI	
CM LAC	2454004.4416	8.9	ZSI	
TV CAS	2454004.4423	7.7	ZSI	
OMI CET	2454004.4430	8.6	ZSI	
AR LAC	2454004.4541	6.5	ZSI	
CM LAC	2454004.4548	8.8	ZSI	
TV CAS	2454004.4555	7.55	ZSI	
AR LAC	2454004.4708	6.5	ZSI	
CM LAC	2454004.4715	8.7	ZSI	
TV CAS	2454004.4722	7.45	ZSI	
AR LAC	2454004.4916	6.4	ZSI	
CM LAC	2454004.4923	8.6	ZSI	
TV CAS	2454004.4930	7.4	ZSI	
R TAU	2454004.4937	8.9	ZSI	
YY ERI	2454004.4944	8.5	ZSI	
RX AUR	2454004.4951	7.9	ZSI	
AR LAC	2454004.5076	6.4	ZSI	
CM LAC	2454004.5083	8.5	ZSI	
TV CAS	2454004.5090	7.3	ZSI	
YY ERI	2454004.5097	8.5	ZSI	
RT AUR	2454004.5104	5.2	ZSI	
WW AUR	2454004.5111	5.6	ZSI	
R CRB	2454009.2277	6.1	ZSI	
BETA LYR	2454009.2277	3.5	ZSI	
DELTA CEP	2454009.2284	3.7	ZSI	
R SCT	2454009.2291	5.6	ZSI	
S SCT	2454009.2298	7.4	ZSI	
TX HER	2454009.2305	8.2	ZSI	
X HER	2454009.2312	6.9	ZSI	
G HER	2454009.2319	5.1	ZSI	
AC HER	2454009.2326	7.6	ZSI	
AI DRA	2454009.2333	7	ZSI	
R AQL	2454009.2340	7.3	ZSI	
ETA AQL	2454009.2347	4	ZSI	
AR LAC	2454009.2354	6.1	ZSI	
CM LAC	2454009.2361	8.7	ZSI	
BG LAC	2454009.2368	8.6	ZSI	
RT LAC	2454009.2375	9.2	ZSI	
X CYG	2454009.2381	6.3	ZSI	
V568 CYG	2454009.2388	6.4	ZSI	
GO CYG	2454009.2395	8.7	ZSI	
Y CYG	2454009.2402	7.3	ZSI	
V367 CYG	2454009.2409	7.2	ZSI	
AF CYG	2454009.2416	7.1	ZSI	
R CYG	2454009.2423	9.2	ZSI	
CHI CYG	2454009.2430	6.1	ZSI	
CH CYG	2454009.2437	9	ZSI	
RZ CAS	2454009.2444	6.3	ZSI	
SU CAS	2454009.2451	6.2	ZSI	
TU CAS	2454009.2458	8.2	ZSI	
TV CAS	2454009.2465	7.3	ZSI	
S SGE	2454009.2472	5.8	ZSI	
U SGE	2454009.2472	6.4	ZSI	
Z VUL	2454009.2486	7.5	ZSI	
T VUL	2454009.2493	5.6	ZSI	
V VUL	2454009.2500	8.7	ZSI	
DM DEL	2454009.2506	8.6	ZSI	
U DEL	2454009.2513	7.1	ZSI	
EU DEL	2454009.2520	6.4	ZSI	
S EQU	2454009.2527	8.1	ZSI	
TX DEL	2454009.2534	9.2	ZSI	
EE PEG	2454009.2541	6.9	ZSI	
R CAS	2454009.2548	6.3	ZSI	
GK CEP	2454009.2555	7	ZSI	
EK CEP	2454009.2562	8	ZSI	
T CEP	2454009.2569	6.8	ZSI	
CQ CEP	2454009.2576	8.8	ZSI	
Z LAC	2454009.2583	8.8	ZSI	
RR LAC	2454009.2590	9.2	ZSI	
X LAC	2454009.2597	8.6	ZSI	
V LAC	2454009.2604	9.3	ZSI	
GL LAC	2454009.2611	8.8	ZSI	
R SCT	2454034.3152	5.7	ZSI	
BETA LYR	2454034.3159	3.4	ZSI	
DELTA CEP	2454034.3166	4.2	ZSI	
ETA AQL	2454034.3173	3.8	ZSI	
R LYR	2454034.3180	4.4	ZSI	
X HER	2454034.3187	6.7	ZSI	
G HER	2454034.3194	5.1	ZSI	
AC HER	2454034.3201	7.4	ZSI	
TX HER	2454034.3208	8.3	ZSI	
AI DRA	2454034.3215	7	ZSI	
R AQL	2454034.3222	8	ZSI	
Z VUL	2454034.3229	7.3	ZSI	
U SGE	2454034.3236	6.3	ZSI	
S SGE	2454034.3250	5.9	ZSI	
DM DEL	2454034.3256	8.7	ZSI	
U DEL	2454034.3263	6.8	ZSI	
EU DEL	2454034.3270	6.3	ZSI	
S EQU	2454034.3277	8.1	ZSI	
TX DEL	2454034.3284	9.1	ZSI	
EE PEG	2454034.3291	6.9	ZSI	
CHI CYG	2454034.3298	7.3	ZSI	
V449 CYG	2454034.3305	7.9	ZSI	
TT CYG	2454034.3312	8.3	ZSI	
AF CYG	2454034.3319	6.9	ZSI	
CH CYG	2454034.3326	9.5	ZSI	
X CYG	2454034.3333	7	ZSI	
V568 CYG	2454034.3340	6.4	ZSI	
Y CYG	2454034.3347	7.3	ZSI	
GO CYG	2454034.3354	8.45	ZSI	
V367 CYG	2454034.3368	7.4	ZSI	
TV PSC	2454034.3375	5	ZSI	
TX PSC	2454034.3381	5.2	ZSI	
BETA PER	2454034.3388	2.1	ZSI	
RHO PER	2454034.3395	3.3	ZSI	
RHO CAS	2454034.3402	4.6	ZSI	
OMI CET	2454034.3409	9.1	ZSI	
W CYG	2454034.3416	6.7	ZSI	
V1339 CYG	2454034.3416	6.4	ZSI	
SS CYG	2454034.3430	8.5	ZSI	
AR LAC	2454034.3437	6.2	ZSI	
CM LAC	2454034.3451	8.3	ZSI	
CQ CEP	2454034.3458	8.6	ZSI	
Z LAC	2454034.3465	8.9	ZSI	
RR LAC	2454034.3472	9.1	ZSI	
X LAC	2454034.3479	8.7	ZSI	
V LAC	2454034.3486	9.3	ZSI	
GL LAC	2454034.3493	8.8	ZSI	
R TAU	2454034.3500	9.2	ZSI	
RZ CAS	2454034.3506	6.4	ZSI	
SU CAS	2454034.3513	5.8	ZSI	
TU CAS	2454034.3520	8	ZSI	
TV CAS	2454034.3527	7.3	ZSI	
R CAS	2454034.3534	7	ZSI	
R CRB	2454308.3368	7.7	ZSI	
AF CYG	2454308.3368	7	ZSI	
RT CYG	2454308.3409	7.5	ZSI	
BETA LYR	2454308.3416	3.6	ZSI	
DELTA CEP	2454308.3423	4.1	ZSI	
TX HER	2454308.3472	8.2	ZSI	
AC HER	2454308.3479	7.6	ZSI	
R LYR	2454308.3486	4.5	ZSI	
X CYG	2454308.3500	6.8	ZSI	
V568 CYG	2454308.3506	6.6	ZSI	
GO CYG	2454308.3513	8.5	ZSI	
